Start,End,Text
594.206,595.673,"FIONA It's okay."
595.808,597.935,"KING HAROLD But your love for Shrek has..."
598.878,600.277,"KING HAROLD ...taught me much."
602.415,604.406,"KING HAROLD My dear boy..."
604.55,607.815,"KING HAROLD ...I am proud to call you my son."
607.953,611.081,"SHREK And I'm proud to call you my frog..."
611.223,613.657,"SHREK ...King dad-in-law."
613.793,619.39,"KING HAROLD Now there is a matter of business to attend to."
629.742,632.734,"PUSS The Frog King... is dead."
640.92,642.888,"DONKEY Put your hat back on, fool."
643.022,644.614,"KING HAROLD Shrek..."
644.757,646.418,"KING HAROLD ...please come hither."
650.262,651.627,"SHREK Yeah, Dad?"
651.764,654.927,"KING HAROLD This kingdom needs a new king."
656.268,660.932,"KING HAROLD You and Fiona are next in line for the throne."
662.608,666.806,"SHREK Next in line. You see, Dad, that's why people love you."
666.946,670.279,"SHREK Even on your deathbed, you're still making jokes."
673.953,677.65,"SHREK Come on, Dad. An ogre as king?"
677.79,680.315,"SHREK That's not such a good idea."
680.459,683.758,"SHREK There must be somebody else. Anybody!"
683.896,689.095,"KING HAROLD Aside from you, there is only one remaining heir."
689.235,692.432,"SHREK Really? Who is he, Dad?"
692.571,694.63,"KING HAROLD His name is..."
696.008,697.066,"KING HAROLD ...is..."
697.209,698.836,"SHREK What's his name?"
698.978,700.57,"KING HAROLD ...is..."
702.481,703.573,"FIONA Daddy!"
720.833,722.801,"KING HAROLD His name is Arthur."
722.935,724.334,"SHREK Arthur?"
728.674,731.871,"KING HAROLD I know you'll do..."
732.011,734.673,"KING HAROLD ...what's right."
737.716,739.047,"QUEEN Harold?"
739.185,740.743,"SHREK Dad? Dad!"
742.188,743.416,"SHREK Dad?"
744.023,745.615,"DONKEY Do your thing, man."
775.554,779.422,"MUSIC ~ When you were young and your heart ~"
779.558,781.719,"MUSIC ~ Was an open book ~"
783.729,787.859,"MUSIC ~ You used to say live and let live ~"
788,791.333,"MUSIC ~ You know you did, you know you did You know you did ~"
792.137,797.2,"MUSIC ~ But if this ever changing world In which we live in ~"
798.077,802.241,"MUSIC ~ Makes you give in and cry ~"
804.75,806.911,"MUSIC ~ Say live and let die ~"
810.356,812.017,"MUSIC ~ Live and let die ~"
848.527,852.293,"MUSIC ~ Hey, lady You, lady ~"
853.299,855.46,"MUSIC ~ Cursing at your life ~"
856.135,858.797,"MUSIC ~ You're a discontented mother ~"
860.472,863.134,"MUSIC And a regimented wife ~"
888.834,891.997,"PRINCE CHARMING What does a prince have to do to get a drink here?"
893.339,895.034,"PRINCE CHARMING Ah, Mabel!"
895.174,899.577,"PRINCE CHARMING Why they call you an ugly stepsister, I'll never know."
900.679,903.773,"PRINCE CHARMING Where's Doris? Taking the night off?"
903.916,907.682,"MABEL She's not welcome here, and neither are you."
909.355,911.38,"MABEL What do you want, Charming?"
911.523,915.584,"PRINCE CHARMING Not much. Just a chance at redemption."
917.196,918.663,"PRINCE CHARMING And a Fuzzy Navel."
918.797,921.857,"PRINCE CHARMING And Fuzzy Navels for all my friends!"
926.305,927.932,"CAPTAIN HOOKS We're not your friends."
930.142,932.269,"CAPTAIN HOOK You don't belong here."
932.411,936.575,"PRINCE CHARMING You're absolutely right, but, I mean, do any of us?"
936.715,938.342,"CYCLOPS Do a number on his face."
938.484,943.08,"PRINCE CHARMING Wait, wait, wait! We are more alike than you think."
943.222,947.124,"PRINCE CHARMING Wicked Witch! The Seven Dwarfs saved Snow White, and what happened?"
947.259,948.351,"EVIL QUEEN Oh, what's it to you?"
948.494,950.758,"PRINCE CHARMING They left you the unfairest of them all."
950.896,955.424,"PRINCE CHARMING Now here you are, hustling pool to get your next meal."
955.567,957.398,"PRINCE CHARMING How does that feel?"
962.875,964.467,"EVIL QUEEN pretty unfair."
964.61,966.009,"PRINCE CHARMING And you!"
966.145,970.775,"PRINCE CHARMING Your star puppet abandons the show to go and find his father."
972.284,974.377,"PUPPET MASTER I hate that little wooden puppet."
974.52,976.488,"PRINCE CHARMING And Hook."
976.622,978.214,"PRINCE CHARMING Need I say more?"
981.927,984.691,"PRINCE CHARMING - And you, Frumpypigskin! - Rumpelstiltskin."
984.83,987.458,"PRINCE CHARMING Where's that firstborn you were promised?"
989.868,993.77,"PRINCE CHARMING Mabel. Remember how you couldn't get your little fat foot..."
993.906,995.806,"PRINCE CHARMING ...into that tiny glass slipper?"
998.477,1002.004,"PRINCE CHARMING Cinderella is in Far Far Away right now..."
1002.147,1007.175,"PRINCE CHARMING ...eating bonbons, cavorting with every last fairy tale creature..."
1007.319,1009.787,"PRINCE CHARMING ...that has ever done you wrong!"
1009.922,1014.859,"PRINCE CHARMING Once upon a time, someone decided that we were the losers."
1014.993,1017.86,"PRINCE CHARMING But there are two sides to every story..."
1018.03,1020.555,"PRINCE CHARMING ...and our side has not been told!"
1020.699,1025.568,"PRINCE CHARMING So who will join me? Who wants to come out on top for once?"
1025.704,1027.365,"PRINCE CHARMING Who wants their..."
1027.506,1030.669,"PRINCE CHARMING ...""happily ever after""?"
1047.86,1049.521,"BLIND MOUSE This way, gents."
1060.873,1065.901,"PUSS It's out of my hands, senorita. The winds of fate have blown on my destiny."
1066.044,1069.844,"PUSS But I will never forget you. You are the love of my life."
1069.982,1072.416,"PUSS As are you."
1072.551,1074.917,"PUSS And, uh, you."
1075.053,1078.216,"PUSS I don't know you, but I'd like to."
1079.391,1080.722,"PUSS I got to go!"
1082.127,1083.822,"DONKEY I don't wanna leave you either."
1083.962,1086.795,"DONKEY But you know how Shrek is. The dude's lost without me."
1087.733,1091.066,"DONKEY But don't worry. I'll send you airmail kisses every day!"
1092.404,1093.769,"DONKEY Be strong, babies."
1093.906,1096.34,"DONKEY Coco, Peanut, listen to your mama."
1096.475,1100.468,"DONKEY Bananas, no roasting marshmallows on your sister's head."
1102.481,1104.108,"DONKEY That's my special boy!"
1104.249,1107.343,"DONKEY Come here, all of you! Give your daddy a big hug!"
1113.926,1115.257,"FIONA Shrek?"
1116.261,1120.561,"FIONA Maybe you should just stay and be King."
1120.699,1124.226,"SHREK Come on. There's no way I could ever run a kingdom."
1124.369,1127.361,"SHREK That's why your cousin Arthur is a perfect choice."
1127.506,1130.031,"FIONA It's not that, no. You see..."
1130.175,1134.635,"SHREK And if he gives me any trouble, I always have persuasion and reason."
1134.78,1138.113,"SHREK Here's persuasion... and here's reason."
1140.519,1141.918,"SHREK Fiona..."
1142.054,1145.319,"SHREK ...soon it's just going to be you, me..."
1145.457,1147.118,"SHREK ...and our swamp."
1148.961,1151.452,"FIONA It's not going to be just you and me."
1152.731,1154.631,"SHIP CAPTAIN All aboard!"
1155.801,1158.634,"SHREK It will be. I promise."
1159.805,1161.295,"SHREK I love you."
1167.913,1169.574,"PIG That's lovely."
